Terrane,Unit,Age_Ma,Rating,S_LONG,S_LAT,P_LONG,P_LAT,A95,Reference,Comment,Page
Baltica-Fennoscandia,Svecofennian gabbro intrusions,1885,B,25.08,63.9,237.5,46.9,3.5,Luoto et al. (2023),,pole_assessments/svecofennian_gabbro_intrusions_1885_49.html
Baltica-Karelia,Onega 1975 Ma Intrusions,1976,A,34,62.1,101.5,44.4,6.3,Lubnina et al. (2017),,pole_assessments/onega_1975_ma_intrusions_1976_50.html
Baltica-Karelia,Varpaisjärvi dolerites & basement,2295,B,27.8,63.4,262.3,-17.4,9.8,Mertanen et al. (2006),"In article B=3 used, but there seems to be 11 dykes. Mean calculated with 11 sites)",pole_assessments/varpaisjarvi_dolerites_basement_2295_51.html
Baltica-Karelia,Taivalkoski 2.3 Ga dyke,2339,C+,28.1,65.5,257.3,20.4,6.3,Salminen et al. (2014),,pole_assessments/taivalkoski_2_3_ga_dyke_2339_52.html
Baltica-Karelia,Kivakka intrusion,2443,B,30.6,65.0,253.7,-16.6,7.6,Lubnina et al. (2025),,pole_assessments/kivakka_intrusion_2443_53.html
Baltica-Karelia,Karelian Dykes,2446,B,30.7,66.0,278.7,-19.9,6.1,Mertanen et al. (1999),,pole_assessments/karelian_dykes_2446_54.html
Baltica-Karelia,Mean D Burakovskaya intrusion and remagnetized Avdeev/Shalskiy dykes,2449,B,36.1,61.9,68.5,14.3,9.3,"Sherbakova et al. (2017); Mertanen, S., Vuollo, J.I., Huhma, H., Arestova N.A., Kovalenko, A.",,pole_assessments/mean_d_burakovskaya_intrusion_and_remagnetized_avdeev_s_2449_55.html
Baltica-Karelia,Mean D' Shalskiy-Deda-Gorelyi-Glubokaya dyke,2511,B,36.1,61.9,221.9,26.2,4.9,"Sherbakova et al. (2017); Mertanen, S., Vuollo, J.I., Huhma, H., Arestova N.A., Kovalenko, A.",,pole_assessments/mean_d_shalskiy_deda_gorelyi_glubokaya_dyke_2511_56.html
Baltica-Kola,Tsuomasvarri Gabbro-Diorite Intrusion,1931,B,28.3,69.9,247.3,40.2,6.0,Mertanen and Pesonen (1994),,pole_assessments/tsuomasvarri_gabbro_diorite_intrusion_1931_57.html
Baltica-Kola,Kuetsyarvi Formation,2060,B,29.5,69.5,300.8,24.7,16.4,Torsvik et al. (1995),,pole_assessments/kuetsyarvi_formation_2060_58.html
Baltica-Kola,Generalskaya Layered Intrusion,2505,B,31,69.4,292.7,-42.5,10.4,Arestova et al. (2002),,pole_assessments/generalskaya_layered_intrusion_2505_59.html
Baltica-Sarmatia,Volyn-Dniestr-Bug intrusions,1722,B,29.6,50.0,163.2,10.7,10.2,Elming et al. (2010),,pole_assessments/volyn_dniestr_bug_intrusions_1722_60.html
Baltica-Sarmatia,Volyn-Dniestr-Bug intrusions,1755,A,28.6,50.6,169.1,26.5,3.9,Elming et al. (2010),,pole_assessments/volyn_dniestr_bug_intrusions_1755_61.html
Baltica-Sarmatia,Volyn-Dniestr-Bug intrusions,2000,B,27.4,50.9,140.4,64.4,12.7,Elming et al. (2010),recalculated k,pole_assessments/volyn_dniestr_bug_intrusions_2000_62.html
Baltica-Sarmatia,Volyn-Dniestr-Bug intrusions A-group,2061,B,29.8,49.6,182.9,15.7,13.7,Elming et al. (2010),,pole_assessments/volyn_dniestr_bug_intrusions_a_group_2061_63.html
